,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Marrakesh,MA,71.67,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
349,Longonjo,AO,62.6,overcast clouds,-12.9067,15.2533,
351,Koundara,GN,74.46,overcast clouds,12.4833,-13.3,Residance B....
352,Beloha,MG,64.99,clear sky,-25.1667,45.05,
353,Bethal,ZA,62.53,clear sky,-26.4579,29.4655,Bluegum Country Lodge
354,Narasannapeta,IN,76.69,moderate rain,18.4167,84.05,AVK events and catering
355,Termoli,IT,64.78,clear sky,41.9888,14.9895,Hotel Mistral
356,Ruteng,ID,74.03,overcast clouds,-8.6136,120.4721,Hotel FX 72
358,Mulki,IN,78.08,few clouds,13.1,74.8,Karnire Camping Ground
360,Bria,CF,68.0,overcast clouds,6.5423,21.9863,WFP Guesthouse
361,Vieux-Habitants,GP,78.37,few clouds,16.0589,-61.7659,Habitation GETZ
364,Praia Da Vitoria,PT,67.75,clear sky,38.7333,-27.0667,Hotel Branco I
366,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
369,Cervo,ES,62.29,clear sky,43.6702,-7.4101,Hotel Spa Galatea
372,Whyalla,AU,73.29,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
374,Kavieng,PG,85.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
376,Richards Bay,ZA,70.2,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
377,Huntsville,US,64.81,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
379,Maningrida,AU,88.29,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
380,Lorengau,PG,86.11,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
381,Hualmay,PE,61.63,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
391,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
392,Poum,NC,74.1,clear sky,-20.2333,164.0167,
393,Chadiza,ZM,65.71,clear sky,-14.0678,32.4392,Sankhani Guest House
394,Mantua,IT,63.64,few clouds,45.1667,10.7833,Hotel la Favorita
398,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
399,Hyeres,FR,64.69,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
400,Wanxian,CN,77.77,moderate rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
401,Nabire,ID,81.66,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
404,Samarai,PG,81.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
407,Davila,PH,87.78,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
414,Namibe,AO,66.27,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
415,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
416,Burpengary,AU,73.02,broken clouds,-27.1575,152.9576,Homestay Experience
417,Palermo,IT,64.53,broken clouds,37.8167,13.5833,"Ponte Montagnola, Vicari"
419,Bonthe,SL,76.08,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
420,Itarema,BR,77.76,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
426,The Valley,AI,82.26,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
434,Tabuk,PH,83.93,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
437,Ndjole,GA,72.9,light rain,-0.1783,10.7649,Motel Kédyann
439,Nossa Senhora Da Gloria,BR,62.98,clear sky,-10.2183,-37.4203,Augustu's Hotel
440,Canico,PT,68.63,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
442,Rafaela,AR,64.99,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
444,Nuevitas,CU,77.59,scattered clouds,21.5453,-77.2644,Hotel Caonaba
446,Pandan,PH,84.34,overcast clouds,14.0453,124.1694,Bonifacio Lodge
447,Jalu,LY,69.93,clear sky,29.0331,21.5482,صاحبة الفخامة
448,Margate,GB,60.91,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
449,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
450,Prainha,BR,77.67,few clouds,-1.8,-53.48,Casa Rocha
451,Sabha,LY,70.27,scattered clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
452,Valdez,EC,77.85,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
454,Touros,BR,76.53,few clouds,-5.1989,-35.4608,INN NEW HORIZON
455,Pindiga,NG,70.45,overcast clouds,9.9833,10.9333,Accommodation Center
456,Hobyo,SO,76.03,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
459,Los Lunas,US,68.7,overcast clouds,34.8062,-106.7334,Western Skies Inns & Suites
461,Pacific Grove,US,69.22,clear sky,36.6177,-121.9166,Lovers Point Inn
463,Beterou,BJ,72.27,broken clouds,9.1992,2.2586,Monastère de Kokoubou
466,Labuhan,ID,83.61,overcast clouds,-6.8844,112.2051,DoubleFAG
467,Huai Yot,TH,83.52,overcast clouds,7.7893,99.6348,สาม
468,Mildura,AU,62.33,light rain,-34.2,142.15,Mercure Hotel Mildura
469,Kutum,SD,76.64,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
472,Carstairs,CA,66.83,clear sky,51.5668,-114.102,Carstairs Campground
473,Honiara,SB,85.28,broken clouds,-9.4333,159.95,Heritage Park Hotel
474,Pishva,IR,70.43,clear sky,35.308,51.7267,شهرک خورشید هشتم
475,Zhuhai,CN,88.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
476,Kulhudhuffushi,MV,80.58,overcast clouds,6.6221,73.07,Haajy Guest House 1
477,Tuskegee,US,66.13,broken clouds,32.424,-85.6916,Macon Motel
478,Dingle,PH,85.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
480,Kushima,JP,82.81,broken clouds,31.4583,131.2333,Hanaoka
481,Jatai,BR,75.58,light rain,-17.8814,-51.7144,Hotel Califórnia
482,Nushki,PK,66.72,clear sky,29.5542,66.0215,Shams hotel
484,Djenne,ML,80.33,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
488,Dalby,AU,72.75,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
